MES,MADURACION,EM
202203,0,0.0
202204,1,0.11979450978480789
202205,2,0.15005372298975753
202206,3,0.24029646646769282
202207,4,0.2851676560407153
202208,5,0.2942003719765177
202209,6,0.2721422214195848
202210,7,0.28325656594789267
202211,8,0.2798715075204866
202212,9,0.28696202774685414
202301,10,0.308589740358026
202302,11,0.387288336541941
202303,12,0.4865285801537535
202304,13,0.22996406941551556
202305,14,0.25222216957642074
202306,15,0.2904114226949032
202307,16,0.3409082947715462
202308,17,0.29300397728005617
202309,18,0.32767439790076397
202310,19,0.2567256535764906
202311,20,0.2613018078788799
202312,21,0.3452848433625881
202401,22,0.2681663543625174
202402,23,0.4036483276750817
202403,24,0.47275049379274753
202404,25,0.39645440014172423
202405,26,0.28341645076123656
202406,27,0.30114151169982367
202407,28,0.3079040126688701
202408,29,0.3465517893581444
202409,30,0.29973839613709435
202410,31,0.33274408827913565
202411,32,0.3800744101661927
202412,33,0.3207799759195361
202501,34,0.30318535348902487
202502,35,0.24996805289291546
202503,36,0.37592236911514454
202504,37,0.5463909931155233
202505,38,0.4621922463142364
202506,39,0.26740513252083586
202507,40,0.19346629144775943
