CODMES_COSECHA,sum(mtogastoprovsol),CTDMESMADURACION
202402,1091678.1685,11
202402,5652592.9167,0
202402,1540651.6908,8
202402,624533.0932,16
202402,1651911.4328,5
202402,887589.1510,13
202402,1944260.6025,6
202402,693134.1235,17
202402,537090.8872,15
202402,1224105.8919,7
202402,690841.8321,14
202402,1031391.0413,3
202402,1014293.3717,18
202402,-30729.1863,2
202402,539222.6454,19
202402,753814.6801,9
202402,702913.5955,12
202402,1529823.5477,4
202402,-639920.9527,1
202402,1157793.4683,10
202403,163727.9465,2
202403,512500.5249,16
202403,1145603.6079,4
202403,659790.7345,13
202403,704011.2491,18
202403,1040557.4855,3
202403,411014.0278,8
202403,737009.4741,17
202403,716830.2000,14
202403,-654350.1692,1
202403,1966090.9901,5
202403,1150038.0711,6
202403,800420.9252,10
202403,5371585.1913,0
202403,1702569.6563,7
202403,739222.5993,9
202403,898929.4742,12
202403,357106.4709,11
202403,505927.5345,15
202404,1557504.7552,7
202404,1988923.9206,9
202404,1698999.5316,11
202404,-601664.5912,1
202404,2466452.4168,4
202404,1895332.2860,5
202404,979375.5718,15
202404,1453912.5863,8
202404,3628501.1617,6
202404,486906.5016,17
202404,1567692.9285,3
202404,1235024.3622,12
202404,1272284.0490,13
202404,1132170.3133,16
202404,291266.2492,2
202404,1120065.1504,14
202404,5956685.3503,0
202404,934624.6590,10
202405,1201014.6650,15
202405,1289938.0637,13
202405,6155523.8669,0
202405,1215411.2661,11
202405,1135076.1584,12
202405,45254.1785,2
202405,2050452.9531,5
202405,756108.3428,16
202405,1579285.8617,6
202405,1176763.9718,4
202405,1345601.7625,10
202405,954849.5923,9
202405,1747451.8852,8
202405,-655975.4224,1
202405,1697859.5981,7
202405,1037217.2135,3
202405,787507.7757,14
202406,892368.0784,3
202406,991764.5087,15
202406,907653.6697,14
202406,-677754.9550,1
202406,1287986.5381,4
202406,1195625.3661,10
202406,948835.3430,11
202406,982558.4520,13
202406,5534389.5214,0
202406,1632115.8038,9
202406,1855581.0293,6
202406,193178.9479,2
202406,1141525.2075,12
202406,1820927.9748,7
202406,1989143.4437,5
202406,999911.6251,8
202407,-162828.5317,2
202407,1309916.5594,6
202407,5342473.3020,0
202407,645138.8606,13
202407,655359.5247,4
202407,439549.8941,3
202407,778631.1164,8
202407,831214.6845,7
202407,394036.2634,12
202407,506084.6594,14
202407,604893.2641,11
202407,-726408.2621,1
202407,1009383.2318,5
202407,592545.7225,10
202407,871146.2416,9
202408,1035508.6510,12
202408,5878340.7550,0
202408,1401938.4683,7
202408,794506.9542,11
202408,792263.2995,6
202408,-828377.6135,1
202408,-56864.9423,2
202408,1642749.4219,5
202408,1152700.3517,8
202408,1243141.7414,4
202408,1001845.1830,10
202408,779259.1816,3
202408,1224051.4728,9
202408,565787.0590,13
202409,1504984.4565,11
202409,850312.0377,5
202409,722989.4469,12
202409,871536.2531,4
202409,6635903.5379,0
202409,1446208.5418,9
202409,424397.4387,3
202409,-129579.5487,2
202409,974250.0980,10
202409,-980972.8244,1
202409,1302273.4019,6
202409,1532850.6627,8
202409,1593634.6536,7
